CODIGO;DESCRICAO;DURACAO;PARCELAS;N_HORAS;EXERVIRTUAIS;QTD_APOSTILA;ATIVO;VALOR;REQUERAPOSTILA;POSEST;STATUSEST;QTD_APOSTILA_DIG;CANCELADOFRANQUEADORA;INCLUSAO;IMAGEM;OCULTO;MAPAKIDS;HORASCURSO;LINKINDICE
73;AUXILIAR ODONTOLÓGICO;2;2;17;N;0;S;;1;N;N;20;N;S;ONLINE;N;N;17;
74;BIOENERGIA;2;2;16;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;
77;HARDWARE;2;2;20;N;0;S;;1;N;N;4;N;S;ONLINE;N;N;20;
78;INFORMÁTICA PARA CONCURSOS;2;2;19;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;19;
79;MARKETING PESSOAL;2;2;17;N;0;S;;1;N;N;25;N;S;ONLINE;N;N;17;
80;WINDOWS 7 MELHOR IDADE;2;2;14;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;14;
81;WINDOWS 7 KIDS;2;2;14;N;0;S;;1;N;N;37;N;S;ONLINE;N;N;14;
82;PREMIERE PRO CS4;2;2;19;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;19;
83;AFTER EFFECTS CS4;2;2;18;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;18;
84;3D STUDIO 2011 MOD I;2;2;21;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;21;
85;3D STUDIO 2011 MOD II;2;2;25;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;25;
86;HTML + CSS;2;2;16;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;16;
87;OPERADOR DE CALDEIRA;2;2;15;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;15;
88;MICROSOFT PROJECT 2010;2;2;16;N;8;S;;1;N;N;4;N;S;ONLINE;N;N;16;
89;EXCEL KIDS 2007;2;2;13;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;13;
90;POWERPOINT KIDS 2007;2;2;12;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;12;
