MATRICULA;CURSO;MODULO;FUNCIONARIO;ORDEM;STATUS;AULA_ATUAL;INTERATIVIDADE;VIRTUAIS;REPROVADO;APOSTILAENTREGUE;DATAPRIMEIROACESSO;DATAPRVISAOCONCLUSAOCURSO;DATACONCLUSACURSO;INTER_EXTENDIDO;DATA_ENTREGA_APOSTILA;FUNCIONARIO_ENTREGA_APOST;APOSTILA_REENTREGUE;TIPOAPOSTILA
1;2;7;1;2;C;16;S;N;N;S;25.01.2017;29.03.2017;15.03.2017;N;12.01.2017;1;N;DIGITAL
1;6;7;1;1;C;16;S;N;N;S;07.12.2016;08.02.2017;25.01.2017;N;11.01.2017;1;N;DIGITAL
1;17;7;1;3;C;17;S;N;N;S;15.03.2017;17.05.2017;19.04.2017;N;12.01.2017;1;N;DIGITAL
1;38;7;1;6;E;;;;;S;28.12.2017;;;N;12.01.2017;1;N;DIGITAL
1;54;7;1;5;A;3;S;N;N;S;26.10.2017;28.12.2017;30.11.2017;N;12.01.2017;1;N;DIGITAL
1;58;7;1;4;C;16;S;N;N;S;19.04.2017;21.06.2017;26.10.2017;N;12.01.2017;1;N;DIGITAL
1;94;7;1;7;E;;;;;S;;;;N;12.01.2017;1;N;DIGITAL
3;2;7;1;2;C;16;S;N;N;S;08.03.2017;10.05.2017;22.03.2017;N;12.01.2017;1;N;DIGITAL
3;6;7;1;1;C;16;S;N;N;S;07.12.2016;08.02.2017;08.03.2017;N;11.01.2017;1;N;DIGITAL
3;17;7;1;3;C;17;S;N;N;S;22.03.2017;24.05.2017;28.04.2017;N;12.01.2017;1;N;DIGITAL
3;38;7;1;6;A;4;S;N;N;S;11.08.2017;13.10.2017;08.12.2017;N;12.01.2017;1;N;DIGITAL
3;54;7;1;5;C;12;S;N;N;S;30.06.2017;01.09.2017;11.08.2017;N;12.01.2017;1;N;DIGITAL
3;58;7;1;4;C;16;S;N;N;S;28.04.2017;30.06.2017;30.06.2017;N;12.01.2017;1;N;DIGITAL
3;94;7;1;7;E;;;;;S;13.10.2017;;;N;12.01.2017;1;N;DIGITAL
5;23;16;1;4;C;23;S;N;N;S;07.12.2016;08.03.2017;18.08.2017;N;11.01.2017;1;N;DIGITAL
5;73;16;1;2;C;17;S;N;N;S;24.11.2017;26.01.2018;17.08.2018;N;12.01.2017;1;N;DIGITAL
5;93;16;1;3;C;18;S;N;N;S;18.08.2017;20.10.2017;24.11.2017;N;12.01.2017;1;N;DIGITAL
5;94;16;1;1;C;21;S;N;N;S;26.01.2018;;18.05.2018;N;12.01.2017;1;N;DIGITAL
6;91;19;1;1;C;56;S;N;N;S;07.12.2016;12.07.2017;16.03.2018;N;11.01.2017;1;N;DIGITAL
6;107;19;1;2;A;9;S;N;N;S;16.03.2018;19.10.2018;10.08.2018;N;12.01.2017;1;N;DIGITAL
6;119;19;1;3;E;;;;;S;19.10.2018;;;N;12.01.2017;1;N;DIGITAL
7;91;19;1;1;C;56;S;N;N;S;05.12.2016;10.07.2017;13.07.2017;N;11.01.2017;1;N;DIGITAL
7;107;19;1;2;A;16;S;N;S;S;13.07.2017;15.02.2018;22.09.2017;N;12.01.2017;1;N;DIGITAL
7;119;19;1;3;E;;;;;S;15.02.2018;;;N;12.01.2017;1;N;DIGITAL
9;2;7;1;2;C;16;S;N;N;S;10.03.2017;12.05.2017;04.08.2017;N;17.02.2017;1;N;DIGITAL
9;6;7;1;1;C;16;S;N;N;S;17.02.2017;21.04.2017;10.03.2017;N;17.02.2017;1;N;DIGITAL
9;17;7;1;3;C;17;S;N;N;S;04.08.2017;06.10.2017;24.11.2017;N;17.02.2017;1;N;DIGITAL
9;38;7;1;6;E;;;;;S;;;;N;17.02.2017;1;N;DIGITAL
9;54;7;1;5;E;;;;;S;26.01.2018;;;N;17.02.2017;1;N;DIGITAL
9;58;7;1;4;A;7;S;N;N;S;24.11.2017;26.01.2018;02.03.2018;N;17.02.2017;1;N;DIGITAL
9;94;7;1;7;E;;;;;S;;;;N;17.02.2017;1;N;DIGITAL
11;2;7;1;2;C;16;S;N;N;S;23.03.2017;25.05.2017;12.04.2017;N;03.03.2017;1;N;DIGITAL
11;6;7;1;1;C;16;S;N;N;S;03.03.2017;05.05.2017;23.03.2017;N;03.03.2017;1;N;DIGITAL
11;17;7;1;3;C;17;S;N;N;S;12.04.2017;14.06.2017;13.07.2017;N;03.03.2017;1;N;DIGITAL
11;38;7;1;6;E;;;;;S;04.10.2017;;;N;03.03.2017;1;N;DIGITAL
11;54;7;1;5;A;8;S;N;N;S;02.08.2017;04.10.2017;24.11.2017;N;03.03.2017;1;N;DIGITAL
11;58;7;1;4;C;16;S;N;N;S;13.07.2017;14.09.2017;02.08.2017;N;03.03.2017;1;N;DIGITAL
11;94;7;1;7;E;;;;;S;;;;N;03.03.2017;1;N;DIGITAL
13;91;19;1;1;C;56;S;N;N;S;22.03.2017;25.10.2017;16.11.2017;N;22.03.2017;1;N;DIGITAL
13;107;19;1;2;C;56;S;N;N;S;16.11.2017;21.06.2018;16.08.2018;N;22.03.2017;1;N;DIGITAL
13;119;19;1;3;C;56;S;N;N;S;16.08.2018;21.03.2019;09.05.2019;N;22.03.2017;1;N;DIGITAL
14;2;7;1;2;C;16;S;N;N;S;02.06.2017;04.08.2017;15.09.2017;N;05.05.2017;1;N;DIGITAL
14;6;7;1;1;C;16;S;N;N;S;31.03.2017;02.06.2017;02.06.2017;N;05.05.2017;1;N;DIGITAL
14;17;7;1;3;C;17;S;N;N;S;15.09.2017;17.11.2017;17.11.2017;N;05.05.2017;1;N;DIGITAL
14;38;7;1;6;E;;;;;S;;;;N;05.05.2017;1;N;DIGITAL
14;54;7;1;5;E;;;;;S;19.01.2018;;;N;05.05.2017;1;N;DIGITAL
14;94;7;1;7;E;;;;;S;;;;N;05.05.2017;1;N;DIGITAL
14;142;0;1;4;A;4;S;N;N;S;17.11.2017;19.01.2018;24.11.2017;N;17.11.2017;1;N;DIGITAL
15;91;19;1;7;C;56;S;N;N;S;31.03.2017;03.11.2017;02.06.2017;N;05.05.2017;1;N;DIGITAL
15;107;19;1;8;C;56;S;N;N;S;02.06.2017;05.01.2018;03.11.2017;N;05.05.2017;1;N;DIGITAL
15;108;0;1;6;E;;;;;N;;;;N;;;N;
15;111;0;1;4;E;;;;;N;;;;N;;;N;
15;113;0;1;2;E;;;;;N;;;;N;;;N;
15;114;0;1;5;A;13;S;N;N;S;;;29.03.2018;N;02.02.2018;1;N;DIGITAL
15;116;0;1;1;A;20;N;N;N;S;;;;N;11.04.2018;1;N;DIGITAL
15;119;19;1;9;A;13;S;N;S;S;03.11.2017;08.06.2018;12.01.2018;N;05.05.2017;1;N;DIGITAL
15;163;0;1;3;E;;;;;N;;;;N;;;N;
18;40;6;1;1;C;1;N;N;;S;05.04.2017;05.07.2017;05.04.2017;N;05.05.2017;1;N;DIGITAL
18;46;6;1;3;C;21;S;N;N;S;12.04.2017;12.07.2017;17.08.2017;N;05.05.2017;1;N;DIGITAL
18;55;6;1;2;C;19;N;N;S;S;05.04.2017;05.07.2017;12.04.2017;N;10.05.2017;1;N;FÍSICA
18;84;6;1;5;C;21;S;N;N;S;17.08.2017;23.11.2017;16.11.2017;N;10.05.2017;1;N;DIGITAL
18;85;6;1;6;C;25;S;N;N;S;16.11.2017;22.02.2018;22.02.2018;N;10.05.2017;1;N;DIGITAL
18;112;0;1;9;E;;;;;S;05.07.2018;;;N;02.08.2017;1;N;DIGITAL
18;117;0;1;1;C;22;S;N;N;S;22.02.2018;24.05.2018;26.04.2018;N;22.02.2018;1;N;DIGITAL
18;118;0;1;2;C;20;S;N;N;S;03.05.2018;05.07.2018;28.06.2018;N;07.06.2018;1;N;DIGITAL
19;53;13;1;2;C;16;S;N;N;S;07.06.2017;09.08.2017;19.07.2017;N;10.05.2017;1;N;DIGITAL
19;69;13;1;1;C;31;S;N;N;S;10.05.2017;13.09.2017;07.06.2017;N;10.05.2017;1;N;DIGITAL
19;84;13;1;6;C;21;S;N;N;S;02.08.2017;08.11.2017;16.08.2017;N;10.05.2017;1;N;DIGITAL
19;85;13;1;7;C;25;S;N;N;S;16.08.2017;22.11.2017;06.09.2017;N;10.05.2017;1;N;DIGITAL
19;88;13;1;8;C;16;S;N;N;S;06.09.2017;08.11.2017;22.11.2017;N;10.05.2017;1;N;FÍSICA
19;136;0;1;9;C;19;S;N;N;S;22.11.2017;24.01.2018;31.01.2018;N;02.08.2017;1;N;DIGITAL
19;137;0;1;10;A;4;N;N;N;S;31.01.2018;04.04.2018;08.02.2018;N;02.08.2017;1;N;DIGITAL
24;56;9;1;6;C;24;S;N;N;S;06.09.2017;06.12.2017;08.11.2017;N;06.07.2017;1;N;DIGITAL
24;61;9;1;7;C;25;S;N;N;S;08.11.2017;14.02.2018;02.03.2018;N;06.07.2017;1;N;DIGITAL
24;84;0;1;9;C;21;S;N;N;S;24.08.2018;30.11.2018;09.11.2018;N;06.07.2017;1;N;DIGITAL
24;85;0;1;10;C;25;S;N;N;S;09.11.2018;15.02.2019;30.11.2018;N;06.07.2017;1;N;DIGITAL
24;86;9;1;1;C;16;S;N;N;S;28.06.2017;30.08.2017;06.09.2017;N;06.07.2017;1;N;DIGITAL
24;109;0;1;18;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
24;111;0;1;2;C;20;S;N;N;S;15.06.2018;17.08.2018;24.08.2018;N;02.08.2017;1;N;DIGITAL
24;112;0;1;17;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
24;113;0;1;1;C;22;S;N;N;S;02.03.2018;08.06.2018;15.06.2018;N;02.08.2017;1;N;DIGITAL
24;114;0;1;14;A;9;S;N;N;S;08.03.2019;10.05.2019;29.03.2019;N;09.11.2018;1;N;DIGITAL
24;116;0;1;15;E;;;;;S;10.05.2019;;;N;02.08.2017;1;N;DIGITAL
24;117;0;1;19;E;;;;;N;;;;N;;;N;
24;118;0;1;20;E;;;;;N;;;;N;;;N;
24;163;0;1;13;C;18;S;N;N;S;30.11.2018;01.02.2019;22.02.2019;N;09.11.2018;1;N;DIGITAL
26;62;1;1;1;C;18;S;N;N;S;28.06.2017;30.08.2017;13.09.2017;N;06.07.2017;1;N;DIGITAL
26;72;1;1;7;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
26;79;0;1;3;A;5;S;N;S;N;;;21.02.2018;N;;;N;
26;92;1;1;2;C;20;S;N;N;S;20.09.2017;22.11.2017;10.01.2018;N;06.07.2017;1;N;DIGITAL
26;93;1;1;4;A;3;N;N;N;S;10.01.2018;14.03.2018;17.01.2018;N;06.07.2017;1;N;DIGITAL
26;95;1;1;5;E;;;;;S;14.03.2018;;;N;06.07.2017;1;N;DIGITAL
26;97;1;1;6;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
28;62;1;1;1;C;18;S;N;N;S;28.06.2017;30.08.2017;13.09.2017;N;06.07.2017;1;N;DIGITAL
28;72;1;1;7;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
28;79;0;1;3;A;5;S;N;N;N;;;21.02.2018;N;;;N;
28;92;1;1;2;C;20;S;N;N;S;20.09.2017;22.11.2017;10.01.2018;N;06.07.2017;1;N;DIGITAL
28;93;1;1;4;A;3;N;N;N;S;10.01.2018;14.03.2018;17.01.2018;N;06.07.2017;1;N;DIGITAL
28;95;1;1;5;E;;;;;S;14.03.2018;;;N;06.07.2017;1;N;DIGITAL
28;97;1;1;6;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
30;62;1;1;1;C;18;S;N;N;S;28.06.2017;30.08.2017;30.08.2017;N;06.07.2017;1;N;DIGITAL
30;72;1;1;6;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
30;92;1;1;2;A;1;S;N;S;S;30.08.2017;01.11.2017;;N;06.07.2017;1;N;DIGITAL
30;93;1;1;3;E;;;;;S;01.11.2017;;;N;06.07.2017;1;N;DIGITAL
30;95;1;1;4;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
30;97;1;1;5;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
31;62;1;1;1;C;18;S;N;N;S;07.07.2017;08.09.2017;31.08.2017;N;02.08.2017;1;N;DIGITAL
31;72;1;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
31;92;1;1;2;C;20;S;N;N;S;31.08.2017;02.11.2017;07.12.2017;N;02.08.2017;1;N;DIGITAL
31;93;1;1;3;C;18;S;N;N;S;07.12.2017;08.02.2018;08.02.2018;N;02.08.2017;1;N;DIGITAL
31;95;1;1;4;A;1;S;N;;S;08.02.2018;12.04.2018;;N;02.08.2017;1;N;DIGITAL
31;97;1;1;5;E;;;;;S;12.04.2018;;;N;02.08.2017;1;N;DIGITAL
35;2;17;1;4;E;;;;;S;03.05.2018;;;N;06.07.2017;1;N;DIGITAL
35;6;17;1;6;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
35;17;17;1;5;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
35;23;17;1;3;A;3;S;N;N;S;01.02.2018;03.05.2018;01.02.2018;N;06.07.2017;1;N;DIGITAL
35;96;17;1;1;C;16;S;N;N;S;29.06.2017;31.08.2017;09.11.2017;N;06.07.2017;1;N;DIGITAL
35;116;0;1;2;C;24;S;N;N;S;09.11.2017;15.02.2018;01.02.2018;N;09.11.2017;1;N;DIGITAL
36;62;1;1;1;C;18;S;N;N;S;29.06.2017;31.08.2017;21.12.2017;N;02.08.2017;1;N;DIGITAL
36;72;1;1;7;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
36;79;0;1;2;A;3;N;N;N;N;;;01.02.2018;N;;;N;
36;92;1;1;3;A;4;N;N;N;S;21.12.2017;22.02.2018;18.01.2018;N;02.08.2017;1;N;DIGITAL
36;93;1;1;4;E;;;;;S;22.02.2018;;;N;02.08.2017;1;N;DIGITAL
36;95;1;1;5;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
36;97;1;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
37;79;0;1;9;E;;;;;N;;;;N;;;N;
37;84;0;1;5;C;21;S;N;N;S;10.01.2018;11.04.2018;25.01.2018;N;02.08.2017;1;N;DIGITAL
37;85;0;1;6;C;22;N;N;N;S;25.01.2018;26.04.2018;09.02.2018;N;02.08.2017;1;N;DIGITAL
37;108;0;1;2;A;1;S;N;N;S;14.09.2017;16.11.2017;23.11.2017;N;02.08.2017;1;N;DIGITAL
37;111;0;1;4;A;10;S;N;N;S;23.11.2017;25.01.2018;15.12.2017;N;02.08.2017;1;N;DIGITAL
37;113;0;1;1;C;22;S;N;N;S;;;02.08.2018;N;12.04.2018;1;N;DIGITAL
37;114;0;1;3;C;19;S;N;N;S;20.07.2017;21.09.2017;14.09.2017;N;02.08.2017;1;N;DIGITAL
37;116;0;1;7;C;24;S;N;N;S;25.01.2018;;12.04.2018;N;02.08.2017;1;N;DIGITAL
38;2;17;1;5;E;;;;;N;;;;N;;;N;
38;6;17;1;6;E;;;;;N;;;;N;;;N;
38;17;17;1;1;A;5;S;N;S;S;24.08.2017;26.10.2017;09.11.2017;N;01.09.2017;1;N;DIGITAL
38;23;17;1;2;E;;;;;N;26.10.2017;;;N;;;N;
38;96;17;1;3;E;;;;;N;;;;N;;;N;
38;116;17;1;4;E;;;;;N;;;;N;;;N;
40;62;1;1;1;C;18;S;N;N;S;29.06.2017;31.08.2017;17.08.2017;N;06.07.2017;1;N;DIGITAL
40;72;1;1;6;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
40;92;1;1;2;C;20;S;N;N;S;17.08.2017;19.10.2017;18.01.2018;N;06.07.2017;1;N;DIGITAL
40;93;1;1;3;A;6;S;N;N;S;18.01.2018;22.03.2018;08.02.2018;N;06.07.2017;1;N;DIGITAL
40;95;1;1;4;E;;;;;S;22.03.2018;;;N;06.07.2017;1;N;DIGITAL
40;97;1;1;5;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
41;2;17;1;4;C;16;S;N;N;S;15.02.2018;19.04.2018;19.04.2018;N;02.08.2017;1;N;DIGITAL
41;6;17;1;6;C;16;S;N;N;S;23.08.2018;25.10.2018;20.09.2018;N;02.08.2017;1;N;DIGITAL
41;23;17;1;3;C;23;S;N;N;S;14.09.2017;14.12.2017;15.02.2018;N;06.07.2017;1;N;DIGITAL
41;40;17;1;2;C;23;S;N;N;S;03.08.2017;09.11.2017;14.09.2017;N;06.07.2017;1;N;DIGITAL
41;96;17;1;1;C;16;S;N;N;S;29.06.2017;31.08.2017;03.08.2017;N;06.07.2017;1;N;DIGITAL
41;147;0;1;5;C;15;S;N;N;S;07.06.2018;09.08.2018;23.08.2018;N;07.06.2018;1;N;DIGITAL
42;62;1;1;1;C;18;S;N;N;S;29.06.2017;31.08.2017;14.09.2017;N;06.07.2017;1;N;DIGITAL
42;72;1;1;6;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
42;92;1;1;2;C;20;S;N;N;S;14.09.2017;16.11.2017;01.02.2018;N;06.07.2017;1;N;DIGITAL
42;93;1;1;3;A;2;S;N;N;S;01.02.2018;05.04.2018;01.02.2018;N;06.07.2017;1;N;DIGITAL
42;95;1;1;4;E;;;;;S;05.04.2018;;;N;06.07.2017;1;N;DIGITAL
42;97;1;1;5;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
44;53;13;1;2;A;6;S;N;N;S;19.10.2017;21.12.2017;15.02.2018;N;06.07.2017;1;N;DIGITAL
44;69;13;1;1;C;31;S;N;N;S;29.06.2017;02.11.2017;19.10.2017;N;06.07.2017;1;N;DIGITAL
44;84;13;1;6;E;;;;;S;21.12.2017;;;N;06.07.2017;1;N;DIGITAL
44;85;13;1;7;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
44;88;13;1;8;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
44;111;0;1;9;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
44;136;0;1;10;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
44;137;0;1;11;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
45;2;7;1;2;C;16;S;N;N;S;20.10.2017;22.12.2017;18.01.2018;N;02.08.2017;1;N;DIGITAL
45;6;7;1;1;C;16;S;N;N;S;29.06.2017;31.08.2017;20.10.2017;N;02.08.2017;1;N;DIGITAL
45;17;7;1;3;A;5;S;N;N;S;18.01.2018;22.03.2018;01.02.2018;N;02.08.2017;1;N;DIGITAL
45;38;7;1;6;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
45;54;7;1;5;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
45;58;7;1;4;E;;;;;S;22.03.2018;;;N;06.07.2017;1;N;DIGITAL
45;94;7;1;7;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
46;55;15;1;1;C;22;S;N;N;S;29.06.2017;05.10.2017;28.09.2017;N;06.07.2017;1;N;DIGITAL
46;84;0;1;7;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
46;85;0;1;8;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
46;108;0;1;3;C;18;S;N;N;S;28.09.2017;30.11.2017;11.01.2018;N;02.08.2017;1;N;DIGITAL
46;111;0;1;4;C;20;S;N;N;S;11.01.2018;15.03.2018;15.03.2018;N;02.08.2017;1;N;DIGITAL
46;114;0;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
46;116;0;1;5;E;;;;;S;15.03.2018;;;N;02.08.2017;1;N;DIGITAL
49;53;13;1;2;C;16;S;N;N;S;01.09.2017;03.11.2017;10.11.2017;N;06.07.2017;1;N;DIGITAL
49;69;13;1;1;C;31;S;N;N;S;30.06.2017;03.11.2017;01.09.2017;N;06.07.2017;1;N;DIGITAL
49;84;13;1;6;A;1;N;N;;S;10.11.2017;16.02.2018;;N;06.07.2017;1;N;DIGITAL
49;85;13;1;7;E;;;;;S;16.02.2018;;;N;06.07.2017;1;N;DIGITAL
49;88;13;1;3;A;10;S;N;N;S;;;02.02.2018;N;06.07.2017;1;N;DIGITAL
49;111;0;1;8;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
49;136;0;1;4;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
49;137;0;1;5;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
51;55;15;1;1;C;22;S;N;N;S;30.06.2017;06.10.2017;06.10.2017;N;06.07.2017;1;N;DIGITAL
51;84;0;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
51;85;0;1;7;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
51;108;0;1;3;A;1;N;N;;S;16.02.2018;20.04.2018;;N;02.08.2017;1;N;DIGITAL
51;111;0;1;4;E;;;;;S;20.04.2018;;;N;02.08.2017;1;N;DIGITAL
51;114;0;1;2;C;19;S;N;N;S;06.10.2017;08.12.2017;16.02.2018;N;02.08.2017;1;N;DIGITAL
51;116;0;1;1;A;4;S;N;N;S;;;23.02.2018;N;02.08.2017;1;N;DIGITAL
52;62;1;1;1;C;18;S;N;N;S;28.06.2017;30.08.2017;30.08.2017;N;06.07.2017;1;N;DIGITAL
52;72;1;1;6;A;1;N;N;;S;;;;N;06.07.2017;1;N;DIGITAL
52;92;1;1;2;C;20;S;N;N;S;30.08.2017;01.11.2017;25.10.2017;N;06.07.2017;1;N;DIGITAL
52;93;1;1;3;C;18;S;N;N;S;25.10.2017;27.12.2017;15.03.2018;N;06.07.2017;1;N;DIGITAL
52;95;1;1;4;C;16;S;N;N;S;15.03.2018;17.05.2018;07.06.2018;N;06.07.2017;1;N;DIGITAL
52;133;0;1;5;C;19;S;N;N;S;07.06.2018;09.08.2018;16.08.2018;N;07.06.2018;1;N;DIGITAL
55;2;17;1;4;A;10;N;N;N;S;17.11.2017;19.01.2018;02.02.2018;N;02.08.2017;1;N;DIGITAL
55;6;17;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
55;17;17;1;5;E;;;;;S;19.01.2018;;;N;02.08.2017;1;N;DIGITAL
55;23;17;1;3;C;23;S;N;N;S;15.09.2017;15.12.2017;17.11.2017;N;06.07.2017;1;N;DIGITAL
55;40;17;1;2;C;23;S;N;N;S;11.08.2017;17.11.2017;15.09.2017;N;06.07.2017;1;N;DIGITAL
55;96;17;1;1;C;16;S;N;N;S;30.06.2017;01.09.2017;11.08.2017;N;06.07.2017;1;N;DIGITAL
56;55;15;1;1;C;22;S;N;N;S;30.06.2017;06.10.2017;06.10.2017;N;06.07.2017;1;N;DIGITAL
56;108;0;1;3;E;;;;;S;08.12.2017;;;N;02.08.2017;1;N;DIGITAL
56;111;0;1;4;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
56;114;0;1;2;A;14;S;N;N;S;06.10.2017;08.12.2017;02.02.2018;N;02.08.2017;1;N;DIGITAL
56;116;0;1;5;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
57;2;17;1;4;E;;;;;S;01.03.2018;;;N;02.08.2017;1;N;DIGITAL
57;6;17;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
57;17;17;1;5;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
57;23;17;1;3;A;20;S;N;N;S;23.11.2017;01.03.2018;01.02.2018;N;06.07.2017;1;N;DIGITAL
57;96;17;1;1;C;16;S;N;N;S;30.06.2017;01.09.2017;15.09.2017;N;06.07.2017;1;N;DIGITAL
57;116;0;1;2;C;24;S;N;N;S;15.09.2017;15.12.2017;23.11.2017;N;19.10.2017;1;N;DIGITAL
58;2;17;1;4;C;16;S;N;N;S;08.12.2017;09.02.2018;19.01.2018;N;02.08.2017;1;N;DIGITAL
58;6;17;1;6;C;16;S;N;N;S;02.03.2018;04.05.2018;16.03.2018;N;02.08.2017;1;N;DIGITAL
58;17;17;1;5;C;17;S;N;N;S;19.01.2018;23.03.2018;02.03.2018;N;02.08.2017;1;N;DIGITAL
58;23;17;1;3;C;23;S;N;N;S;15.09.2017;15.12.2017;08.12.2017;N;06.07.2017;1;N;DIGITAL
58;40;17;1;2;C;23;S;N;N;S;11.08.2017;17.11.2017;08.09.2017;N;06.07.2017;1;N;DIGITAL
58;96;17;1;1;C;16;S;N;N;S;30.06.2017;01.09.2017;11.08.2017;N;06.07.2017;1;N;DIGITAL
59;2;17;1;4;E;;;;;S;19.01.2018;;;N;02.08.2017;1;N;DIGITAL
59;6;17;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
59;17;17;1;5;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
59;96;17;1;1;C;16;S;N;N;S;30.06.2017;01.09.2017;01.09.2017;N;06.07.2017;1;N;DIGITAL
59;116;0;1;2;C;24;S;N;N;S;08.09.2017;08.12.2017;13.10.2017;N;01.09.2017;1;N;DIGITAL
59;150;0;1;3;A;17;S;N;N;S;13.10.2017;19.01.2018;02.02.2018;N;13.10.2017;1;N;DIGITAL
73;53;13;1;2;C;16;S;N;N;S;11.11.2017;13.01.2018;20.01.2018;N;06.07.2017;1;N;DIGITAL
73;69;13;1;1;C;31;S;N;N;S;01.07.2017;04.11.2017;11.11.2017;N;06.07.2017;1;N;DIGITAL
73;84;13;1;6;A;13;N;N;N;S;20.01.2018;21.04.2018;17.03.2018;N;06.07.2017;1;N;DIGITAL
73;85;13;1;7;E;;;;;S;21.04.2018;;;N;06.07.2017;1;N;DIGITAL
73;88;13;1;8;E;;;;;S;;;;N;06.07.2017;1;N;DIGITAL
73;111;0;1;9;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
73;136;0;1;10;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
73;137;0;1;11;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
74;62;1;1;1;C;18;S;N;N;S;01.07.2017;02.09.2017;16.09.2017;N;06.07.2017;1;N;DIGITAL
74;79;0;1;6;C;17;S;N;N;S;24.03.2018;26.05.2018;23.06.2018;N;24.03.2018;1;N;DIGITAL
74;92;1;1;2;C;20;S;N;N;S;16.09.2017;18.11.2017;04.11.2017;N;06.07.2017;1;N;DIGITAL
74;93;1;1;3;C;18;S;N;N;S;04.11.2017;06.01.2018;25.11.2017;N;06.07.2017;1;N;DIGITAL
74;95;1;1;4;C;16;S;N;N;S;25.11.2017;27.01.2018;23.12.2017;N;06.07.2017;1;N;DIGITAL
74;133;0;1;5;C;19;S;N;N;S;23.12.2017;24.02.2018;24.03.2018;N;23.12.2017;1;N;DIGITAL
75;62;1;1;2;C;18;S;N;N;S;01.07.2017;02.09.2017;16.09.2017;N;06.07.2017;1;N;DIGITAL
75;72;1;1;7;A;1;N;N;;S;;;;N;06.07.2017;1;N;DIGITAL
75;79;0;1;1;C;17;S;N;N;S;28.04.2018;30.06.2018;15.09.2018;N;28.04.2018;1;N;DIGITAL
75;92;1;1;2;C;20;S;N;N;S;16.09.2017;18.11.2017;18.11.2017;N;06.07.2017;1;N;DIGITAL
75;93;1;1;3;C;18;S;N;N;S;18.11.2017;20.01.2018;13.01.2018;N;06.07.2017;1;N;DIGITAL
75;95;1;1;4;C;16;S;N;N;S;13.01.2018;17.03.2018;24.02.2018;N;06.07.2017;1;N;DIGITAL
75;133;0;1;6;C;19;S;N;N;S;03.03.2018;05.05.2018;07.04.2018;N;07.04.2018;1;N;DIGITAL
77;2;17;1;4;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
77;6;17;1;6;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
77;17;17;1;5;E;;;;;S;;;;N;02.08.2017;1;N;DIGITAL
77;23;17;1;3;E;;;;;S;24.02.2018;;;N;06.07.2017;1;N;DIGITAL
77;96;17;1;1;C;16;S;N;N;S;01.07.2017;02.09.2017;28.10.2017;N;06.07.2017;1;N;DIGITAL
